league,conference,division,position,team,won,lost,ties,points,records,streak,ncaa_conference
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",National Football Conference,NFC North,2,"{'id': 32, 'name': 'Minnesota Vikings', 'logo': 'https://media.api-sports.io/american-football/teams/32.png'}",14,3,0,"{'for': 432, 'against': 332, 'difference': 100}","{'home': '8-1', 'road': '6-2', 'conference': '9-3', 'division': '4-2'}",L1,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",National Football Conference,NFC North,3,"{'id': 15, 'name': 'Green Bay Packers', 'logo': 'https://media.api-sports.io/american-football/teams/15.png'}",11,6,0,"{'for': 460, 'against': 338, 'difference': 122}","{'home': '6-3', 'road': '5-3', 'conference': '6-6', 'division': '1-5'}",L2,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",National Football Conference,NFC North,4,"{'id': 16, 'name': 'Chicago Bears', 'logo': 'https://media.api-sports.io/american-football/teams/16.png'}",5,12,0,"{'for': 310, 'against': 370, 'difference': -60}","{'home': '4-5', 'road': '1-7', 'conference': '3-9', 'division': '1-5'}",W1,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",National Football Conference,NFC South,1,"{'id': 24, 'name': 'Tampa Bay Buccaneers', 'logo': 'https://media.api-sports.io/american-football/teams/24.png'}",10,7,0,"{'for': 502, 'against': 385, 'difference': 117}","{'home': '5-4', 'road': '5-3', 'conference': '8-4', 'division': '4-2'}",W2,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",National Football Conference,NFC South,2,"{'id': 8, 'name': 'Atlanta Falcons', 'logo': 'https://media.api-sports.io/american-football/teams/8.png'}",8,9,0,"{'for': 389, 'against': 423, 'difference': -34}","{'home': '4-5', 'road': '4-4', 'conference': '7-5', 'division': '4-2'}",L2,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",National Football Conference,NFC South,3,"{'id': 19, 'name': 'Carolina Panthers', 'logo': 'https://media.api-sports.io/american-football/teams/19.png'}",5,12,0,"{'for': 341, 'against': 534, 'difference': -193}","{'home': '3-6', 'road': '2-6', 'conference': '4-8', 'division': '2-4'}",W1,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",National Football Conference,NFC South,4,"{'id': 27, 'name': 'New Orleans Saints', 'logo': 'https://media.api-sports.io/american-football/teams/27.png'}",5,12,0,"{'for': 338, 'against': 398, 'difference': -60}","{'home': '3-6', 'road': '2-6', 'conference': '4-8', 'division': '2-4'}",L4,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",National Football Conference,NFC West,1,"{'id': 31, 'name': 'Los Angeles Rams', 'logo': 'https://media.api-sports.io/american-football/teams/31.png'}",10,7,0,"{'for': 367, 'against': 386, 'difference': -19}","{'home': '5-4', 'road': '5-3', 'conference': '6-6', 'division': '4-2'}",L1,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",National Football Conference,NFC West,2,"{'id': 23, 'name': 'Seattle Seahawks', 'logo': 'https://media.api-sports.io/american-football/teams/23.png'}",10,7,0,"{'for': 375, 'against': 368, 'difference': 7}","{'home': '3-6', 'road': '7-1', 'conference': '6-6', 'division': '4-2'}",W2,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",National Football Conference,NFC West,3,"{'id': 11, 'name': 'Arizona Cardinals', 'logo': 'https://media.api-sports.io/american-football/teams/11.png'}",8,9,0,"{'for': 400, 'against': 379, 'difference': 21}","{'home': '6-3', 'road': '2-6', 'conference': '4-8', 'division': '3-3'}",W1,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
"{'id': 1, 'name': 'NFL', 'season': 2024, 'logo': 'https://media.api-sports.io/american-football/leagues/1.png', 'country': {'name': 'USA', 'code': 'US', 'flag': 'https://media.api-sports.io/flags/us.svg'}}",National Football Conference,NFC West,4,"{'id': 14, 'name': 'San Francisco 49ers', 'logo': 'https://media.api-sports.io/american-football/teams/14.png'}",6,11,0,"{'for': 389, 'against': 436, 'difference': -47}","{'home': '4-5', 'road': '2-6', 'conference': '4-8', 'division': '1-5'}",L4,"{'won': None, 'lost': None, 'points': {'for': None, 'against': None}}"
